chapt;short_n;header
4;155;"Стаття 155.Вчинення дій сексуального характеру з особою, яка не досягла
шістнадцятирічного віку"
4;156;Стаття 156.Розбещення неповнолітніх
4;156-1;Стаття 156-1.Домагання дитини для сексуальних цілей
5;157;"Стаття 157.Перешкоджання здійсненню виборчого права або права брати участь у
 референдумі, роботі виборчої комісії або комісії референдуму чи діяльності
офіційного спостерігача"
5;158;"Стаття 158.Надання неправдивих відомостей до органу ведення Державного реєстру
виборців або інше несанкціоноване втручання в роботу Державного реєстру виборців"
5;158-1;"Стаття 158-1.Незаконне використання виборчого бюлетеня, бюлетеня для голосування
 на референдумі, голосування виборцем, учасником референдуму більше одного разу,
 викрадення, пошкодження, приховування або знищення виборчого бюлетеня, бюлетеня
для голосування на референдумі"
5;158-2;"Стаття 158-2.Незаконне знищення або пошкодження виборчої документації або
документації референдуму"
5;158-3;"Стаття 158-3.Фальсифікація, підроблення, викрадення, пошкодження або знищення
 виборчої документації, документації референдуму, викрадення, пошкодження,
 приховування, знищення печатки виборчої комісії, комісії референдуму, виборчої
скриньки, списку виборців чи учасників референдуму"
5;159;Стаття 159.Порушення таємниці голосування
5;159-1;"Стаття 159-1.Порушення порядку фінансування політичної партії, передвиборної
агітації чи агітації референдуму"
5;160;"Стаття 160.Підкуп виборця, учасника референдуму, члена виборчої комісії або
комісії з референдуму"
5;161;"Стаття 161.Порушення рівноправності громадян залежно від їх расової,
 національної належності, релігійних переконань, інвалідності та за іншими
ознаками"
5;162;Стаття 162.Порушення недоторканності житла
5;163;"Стаття 163.Порушення таємниці листування, телефонних розмов, телеграфної чи
іншої кореспонденції, що передаються засобами зв'язку або через комп'ютер"
5;164;Стаття 164.Ухилення від сплати аліментів на утримання дітей
5;165;Стаття 165.Ухилення від сплати коштів на утримання непрацездатних батьків
5;166;"Стаття 166.Злісне невиконання обов'язків по догляду за дитиною або за особою,
щодо якої встановлена опіка чи піклування"
5;167;Стаття 167.Зловживання опікунськими правами
5;168;Стаття 168. Розголошення таємниці усиновлення (удочеріння)
5;169;Стаття 169.Незаконні дії щодо усиновлення (удочеріння)
5;170;"Стаття 170.Перешкоджання законній діяльності професійних спілок, політичних
партій, громадських організацій"
5;171;Стаття 171.Перешкоджання законній професійній діяльності журналістів
5;172;Стаття 172.Грубе порушення законодавства про працю
5;173;Стаття 173.Грубе порушення угоди про працю
5;174;Стаття 174.Примушування до участі у страйку або перешкоджання участі у страйку
5;175;"Стаття 175.Невиплата заробітної плати, стипендії, пенсії чи інших установлених
законом виплат"
5;176;Стаття 176.Порушення авторського права і суміжних прав
5;177;"Стаття 177.Порушення прав на винахід, корисну модель, промисловий зразок,
топографію інтегральної мікросхеми, сорт рослин, раціоналізаторську пропозицію"
5;178;Стаття 178.Пошкодження релігійних споруд чи культових будинків
5;179;Стаття 179.Незаконне утримування, осквернення або знищення релігійних святинь
5;180;Стаття 180.Перешкоджання здійсненню релігійного обряду
5;181;"Стаття 181.Посягання на здоров'я людей під приводом проповідування релігійних
віровчень чи виконання релігійних обрядів"
5;182;Стаття 182.Порушення недоторканності приватного життя
5;183;Стаття 183.Порушення права на отримання освіти
5;184;Стаття 184.Порушення права на безоплатну медичну допомогу
6;185;Стаття 185.Крадіжка
6;186;Стаття 186.Грабіж
6;187;Стаття 187.Розбій
6;188;Стаття 188.{Статтю 188 виключено на підставі Закону№ 270-VI від 15.04.2008}
6;188-1;"Стаття 188-1.Викрадення води, електричної або теплової енергії шляхом її
самовільного використання"
6;189;Стаття 189.Вимагання
6;190;Стаття 190.Шахрайство
6;191;"Стаття 191.Привласнення, розтрата майна або заволодіння ним шляхом зловживання
службовим становищем"
6;192;Стаття 192.Заподіяння майнової шкоди шляхом обману або зловживання довірою
6;193;"Стаття 193.Незаконне привласнення особою знайденого або чужого майна, що
випадково опинилося у неї"
6;194;Стаття 194.Умисне знищення або пошкодження майна
6;194-1;Стаття 194-1.Умисне пошкодження об'єктів електроенергетики
6;195;Стаття 195.Погроза знищення майна
6;196;Стаття 196.Необережне знищення або пошкодження майна
6;197;Стаття 197.Порушення обов'язків щодо охорони майна
6;197-1;Стаття 197-1.Самовільне зайняття земельної ділянки та самовільне будівництво
6;198;"Стаття 198.Придбання, отримання, зберігання чи збут майна, одержаного
кримінально протиправним шляхом"
7;199;"Стаття 199.Виготовлення, зберігання, придбання, перевезення, пересилання,
 ввезення в Україну з метою використання при продажу товарів, збуту або збут
 підроблених грошей, державних цінних паперів, що існують у паперовій формі,
 білетів державної лотереї, марок акцизного податку чи голографічних захисних
елементів"
7;200;"Стаття 200.Незаконні дії з документами на переказ, платіжними картками та
 іншими засобами доступу до банківських рахунків, електронними грошима,
обладнанням для їх виготовлення"
7;201;Стаття 201.Контрабанда
7;201-1;"Стаття 201-1. Переміщення через митний кордон України поза митним контролем або
 з приховуванням від митного контролю лісоматеріалів або пиломатеріалів цінних
 та рідкісних порід дерев, лісоматеріалів необроблених, а також інших
лісоматеріалів, заборонених до вивозу за межі митної території України"
7;202;Стаття 202.{Статтю 202 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;203;Стаття 203.{Статтю 203 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;203-1;"Стаття 203-1.Незаконний обіг дисків для лазерних систем зчитування, матриць,
обладнання та сировини для їх виробництва"
7;203-2;"Стаття 203-2.Незаконна діяльність з організації або проведення азартних ігор,
лотерей"
7;204;"Стаття 204.Незаконне виготовлення, зберігання, збут або транспортування з метою
збуту підакцизних товарів"
7;205;Стаття 205.{Статтю 205 виключено на підставіЗакону№ 101-IX від 18.09.2019}
7;205-1;"Стаття 205-1.Підроблення документів, які подаються для проведення державної
реєстрації юридичної особи та фізичних осіб - підприємців"
7;206;Стаття 206.Протидія законній господарській діяльності
7;206-2;Стаття 206-2.Протиправне заволодіння майном підприємства, установи, організації
7;207;Стаття 207.{Статтю 207 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;208;Стаття 208.{Статтю 208 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;209;Стаття 209.Легалізація (відмивання) майна, одержаного злочинним шляхом
7;209-1;"Стаття 209-1.Умисне порушення вимог законодавства про запобігання та протидію
 легалізації (відмиванню) доходів, одержаних злочинним шляхом, фінансуванню
тероризму та фінансуванню розповсюдження зброї масового знищення"
7;210;"Стаття 210.Нецільове використання бюджетних коштів, здійснення видатків бюджету
 чи надання кредитів з бюджету без встановлених бюджетних призначень або з їх
перевищенням"
7;211;"Стаття 211.Видання нормативно-правових актів, що зменшують надходження бюджету
або збільшують витрати бюджету всупереч закону"
7;212;Стаття 212.Ухилення від сплати податків, зборів (обов'язкових платежів)
7;212-1;"Стаття 212-1.Ухилення від сплати єдиного внеску на загальнообов'язкове державне
 соціальне страхування та страхових внесків на загальнообов'язкове державне
пенсійне страхування"
7;213;"Стаття 213.Порушення порядку здійснення заготівлі металобрухту та операцій з
металобрухтом"
7;214;Стаття 214.{Статтю 214 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;215;Стаття 215.{Статтю 215 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;216;Стаття 216.{Статтю 216 виключено на підставі Закону№ 1965-IX від 15.12.2021}
7;217;Стаття 217.{Статтю 217 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;218;Стаття 218.{Статтю 218 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;218-1;Стаття 218-1. Доведення банку до неплатоспроможності
7;219;Стаття 219.Доведення до банкрутства
7;220;Стаття 220.{Статтю 220 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;220-1;"Стаття 220-1.Порушення порядку ведення бази даних про вкладників або порядку
формування звітності"
7;220-2;"Стаття 220-2.Фальсифікація фінансових документів та звітності фінансової
 організації, приховування неплатоспроможності фінансової установи або підстав
для відкликання (анулювання) ліцензії фінансової установи"
7;221;Стаття 221.{Статтю 221 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;222;Стаття 222.Шахрайство з фінансовими ресурсами
7;222-1;Стаття 222-1.Маніпулювання на організованих ринках
7;222-2;Стаття 222-2.Маніпулювання на енергетичному ринку
7;223;Стаття 223.{Статтю 223 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;223-1;"Стаття 223-1.Підроблення документів, які подаються для реєстрації випуску цінних
паперів"
7;223-2;Стаття 223-2.{Статтю 2232виключено на підставі Закону№ 738-IX від 19.06.2020}
7;224;"Стаття 224.Виготовлення, збут та використання підроблених цінних паперів (крім
державних цінних паперів)"
7;225;Стаття 225.{Статтю 225 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;226;Стаття 226.{Статтю 226 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;227;"Стаття 227.Умисне введення в обіг на ринку України (випуск на ринок України)
небезпечної продукції"
7;228;Стаття 228.{Статтю 228 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;229;"Стаття 229.Незаконне використання знака для товарів і послуг, фірмового
найменування, кваліфікованого зазначення походження товару"
7;230;Стаття 230.{Статтю 230 виключено на підставі Закону№ 669-IV від 03.04.2003}
7;231;"Стаття 231.Незаконне збирання з метою використання або використання відомостей,
що становлять комерційну або банківську таємницю"
7;232;"Стаття 232.Розголошення комерційної, банківської таємниці або професійної
таємниці на ринках капіталу та організованих товарних ринках"
7;232-1;Стаття 232-1.Незаконне використання інсайдерської інформації
7;232-2;Стаття 232-2.Приховування інформації про діяльність емітента
7;232-3;"Стаття 232-3.Незаконне використання інсайдерської інформації щодо оптових
енергетичних продуктів"
7;233;Стаття 233.Незаконна приватизація державного, комунального майна
7;234;Стаття 234.{Статтю 234 виключено на підставі Закону№ 4025-VI від 15.11.2011}
7;235;Стаття 235.{Статтю 235 виключено на підставі Закону№ 4025-VI від 15.11.2011}
8;236;Стаття 236.Порушення правил екологічної безпеки
8;237;Стаття 237.Невжиття заходів щодо ліквідації наслідків екологічного забруднення
8;238;"Стаття 238.Приховування або перекручення відомостей про екологічний стан або
захворюваність населення"
8;239;Стаття 239.Забруднення або псування земель
8;239-1;Стаття 239-1.Незаконне заволодіння ґрунтовим покривом (поверхневим шаром) земель
8;239-2;"Стаття 239-2.Незаконне заволодіння землями водного фонду в особливо великих
розмірах"
8;240;"Стаття 240.Порушення правил охорони або використання надр, незаконне
видобування корисних копалин"
8;240-1;"Стаття 240-1.Незаконне видобування, збут, придбання, передача, пересилання,
перевезення, переробка бурштину"
8;241;Стаття 241.Забруднення атмосферного повітря
8;242;Стаття 242.Порушення правил охорони вод
8;243;Стаття 243.Забруднення моря
8;244;Стаття 244.Порушення законодавства про континентальний шельф України
8;245;Стаття 245.Знищення або пошкодження об'єктів рослинного світу
8;246;Стаття 246.Незаконна порубка або незаконне перевезення, зберігання, збут лісу
8;247;Стаття 247.Порушення законодавства про захист рослин
8;248;Стаття 248.Незаконне полювання
8;249;"Стаття 249.Незаконне зайняття рибним, звіриним або іншим водним добувним
промислом"
8;250;Стаття 250.Проведення вибухових робіт з порушенням правил охорони рибних запасів
8;251;Стаття 251.Порушення ветеринарних правил
8;252;"Стаття 252.Умисне знищення або пошкодження територій, взятих під охорону
держави, та об'єктів природно-заповідного фонду"
8;253;Стаття 253.Проектування чи експлуатація споруд без систем захисту довкілля
8;254;Стаття 254.Безгосподарське використання земель
9;255;"Стаття 255.Створення, керівництво злочинною спільнотою або злочинною
організацією, а також участь у ній"
9;255-1;Стаття 255-1. Встановлення або поширення злочинного впливу
9;255-2;"Стаття 255-2.Організація, сприяння у проведенні або участь у злочинному зібранні
(сходці)"
9;255-3;Стаття 255-3.Звернення за застосуванням злочинного впливу
9;256;"Стаття 256.Сприяння учасникам злочинних організацій та укриття їх злочинної
діяльності"
9;257;Стаття 257.Бандитизм
9;258;Стаття 258.Терористичний акт
9;258-1;Стаття 258-1.Втягнення у вчинення терористичного акту
9;258-2;Стаття 258-2.Публічні заклики до вчинення терористичного акту
9;258-3;Стаття 258-3.Створення терористичної групи чи терористичної організації
9;258-4;Стаття 258-4.Сприяння вчиненню терористичного акту
9;258-5;Стаття 258-5.Фінансування тероризму
9;259;"Стаття 259.Завідомо неправдиве повідомлення про загрозу безпеці громадян,
знищення чи пошкодження об'єктів власності"
9;260;Стаття 260.Створення не передбачених законом воєнізованих або збройних формувань
9;261;"Стаття 261.Напад на об'єкти, на яких є предмети, що становлять підвищену
небезпеку для оточення"
9;262;"Стаття 262.Викрадення, привласнення, вимагання вогнепальної зброї, бойових
 припасів, вибухових речовин чи радіоактивних матеріалів або заволодіння ними
шляхом шахрайства або зловживанням службовим становищем"
9;263;"Стаття 263.Незаконне поводження зі зброєю, бойовими припасами або вибуховими
речовинами"
9;263-1;"Стаття 263-1.Незаконне виготовлення, переробка чи ремонт вогнепальної зброї або
 фальсифікація, незаконне видалення чи зміна її маркування, або незаконне
виготовлення бойових припасів, вибухових речовин чи вибухових пристроїв"
9;264;Стаття 264.Недбале зберігання вогнепальної зброї або бойових припасів
9;265;Стаття 265.Незаконне поводження з радіоактивними матеріалами
9;265-1;"Стаття 265-1.Незаконне виготовлення ядерного вибухового пристрою чи пристрою, що
розсіює радіоактивний матеріал або випромінює радіацію"
9;266;Стаття 266.Погроза вчинити викрадання або використати радіоактивні матеріали
9;267;"Стаття 267.Порушення правил поводження з вибуховими, легкозаймистими та їдкими
речовинами або радіоактивними матеріалами"
9;267-1;Стаття 267-1.Порушення вимог режиму радіаційної безпеки
9;268;Стаття 268.Незаконне ввезення на територію України відходів і вторинної сировини
9;269;"Стаття 269.Незаконне перевезення на повітряному судні вибухових або
легкозаймистих речовин"
10;270;"Стаття 270.Порушення встановлених законодавством вимог пожежної або техногенної
безпеки"
10;270-1;"Стаття 270-1.Умисне знищення або пошкодження об'єктів житлово-комунального
господарства"
10;271;Стаття 271.Порушення вимог законодавства про охорону праці
10;272;"Стаття 272.Порушення правил безпеки під час виконання робіт з підвищеною
небезпекою"
10;273;"Стаття 273.Порушення правил безпеки на вибухонебезпечних підприємствах або у
вибухонебезпечних цехах"
10;274;Стаття 274.Порушення правил ядерної або радіаційної безпеки
10;275;"Стаття 275.Порушення правил, що стосуються безпечного використання промислової
продукції або безпечної експлуатації будівель і споруд"
11;276;"Стаття 276.Порушення правил безпеки руху або експлуатації залізничного, водного
чи повітряного транспорту"
11;276-1;"Стаття 276-1.Здійснення професійної діяльності членом екіпажу або обслуговування
 повітряного руху диспетчером управління повітряним рухом (диспетчером служби
 руху) у стані алкогольного сп'яніння або під впливом наркотичних чи
психотропних речовин"
11;277;Стаття 277.Пошкодження шляхів сполучення і транспортних засобів
11;278;"Стаття 278.Угон або захоплення залізничного рухомого складу, повітряного,
морського чи річкового судна"
11;279;"Стаття 279.Блокування транспортних комунікацій, а також захоплення
транспортного підприємства"
11;280;"Стаття 280.Примушування працівника транспорту до невиконання своїх службових
обов'язків"
11;281;Стаття 281.Порушення правил повітряних польотів
11;282;Стаття 282.Порушення правил використання повітряного простору
11;283;Стаття 283.Самовільне без нагальної потреби зупинення поїзда
11;284;Стаття 284.Ненадання допомоги судну та особам, що зазнали лиха
11;285;Стаття 285.Неповідомлення капітаном назви свого судна при зіткненні суден
11;286;"Стаття 286.Порушення правил безпеки дорожнього руху або експлуатації транспорту
особами, які керують транспортними засобами"
11;286-1;"Стаття 286-1.Порушення правил безпеки дорожнього руху або експлуатації
транспорту особами, які керують транспортними засобами в стані сп’яніння"
11;287;"Стаття 287.Випуск в експлуатацію технічно несправних транспортних засобів або
інше порушення їх експлуатації"
11;288;"Стаття 288.Порушення нормативно-правових актів, норм і правил, що стосуються
убезпечення дорожнього руху"
11;289;Стаття 289.Незаконне заволодіння транспортним засобом
11;290;"Стаття 290.Знищення, підробка або заміна номерів вузлів та агрегатів
транспортного засобу"
11;291;Стаття 291.Порушення чинних на транспорті правил
11;292;"Стаття 292.Пошкодження об'єктів магістральних або промислових нафто-, газо-,
конденсатопроводів та нафтопродуктопроводів"
12;293;Стаття 293.Групове порушення громадського порядку
12;294;Стаття 294.Масові заворушення
12;295;Стаття 295.Заклики до вчинення дій, що загрожують громадському порядку
12;296;Стаття 296.Хуліганство
12;297;Стаття 297.Наруга над могилою, іншим місцем поховання або над тілом померлого
12;298;"Стаття 298.Незаконне проведення пошукових робіт на об'єкті археологічної
спадщини, знищення, руйнування або пошкодження об'єктів культурної спадщини"
12;298-1;"Стаття 298-1.Знищення, пошкодження або приховування документів чи унікальних
документів Національного архівного фонду"
12;299;Стаття 299.Жорстоке поводження з тваринами
12;300;"Стаття 300.Ввезення, виготовлення або розповсюдження творів, що пропагують
 культ насильства і жорстокості, расову, національну чи релігійну нетерпимість
та дискримінацію"
12;301;Стаття 301.Ввезення, виготовлення, збут і розповсюдження порнографічних предметів
12;301-1;"Стаття 301-1.Одержання доступу до дитячої порнографії, її придбання, зберігання,
ввезення, перевезення чи інше переміщення, виготовлення, збут і розповсюдження"
12;301-2;"Стаття 301-2.Проведення видовищного заходу сексуального характеру за участю
неповнолітньої особи"
12;302;Стаття 302.Створення або утримання місць розпусти і звідництво
12;303;Стаття 303.Сутенерство або втягнення особи в заняття проституцією
12;304;Стаття 304.Втягнення неповнолітніх у протиправну діяльність
13;305;"Стаття 305.Контрабанда наркотичних засобів, психотропних речовин, їх аналогів
чи прекурсорів або фальсифікованих лікарських засобів"
13;306;"Стаття 306.Використання коштів, здобутих від незаконного обігу наркотичних
 засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи
сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів"
13;307;"Стаття 307.Незаконне виробництво, виготовлення, придбання, зберігання,
 перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або
їх аналогів"
13;308;"Стаття 308.Викрадення, привласнення, вимагання наркотичних засобів,
 психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або
зловживання службовим становищем"
13;309;"Стаття 309.Незаконне виробництво, виготовлення, придбання, зберігання,
 перевезення чи пересилання наркотичних засобів, психотропних речовин або їх
аналогів без мети збуту"
13;310;Стаття 310.Посів або вирощування снотворного маку чи конопель
13;311;"Стаття 311.Незаконне виробництво, виготовлення, придбання, зберігання,
перевезення чи пересилання прекурсорів"
13;312;"Стаття 312.Викрадення, привласнення, вимагання прекурсорів або заволодіння ними
шляхом шахрайства або зловживання службовим становищем"
13;313;"Стаття 313.Викрадення, привласнення, вимагання обладнання, призначеного для
 виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи
 заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші
незаконні дії з таким обладнанням"
13;314;"Стаття 314.Незаконне введення в організм наркотичних засобів, психотропних
речовин або їх аналогів"
13;315;"Стаття 315.Схиляння до вживання наркотичних засобів, психотропних речовин або
їх аналогів"
13;316;Стаття 316.Незаконне публічне вживання наркотичних засобів
13;317;"Стаття 317.Організація або утримання місць для незаконного вживання,
 виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх
аналогів"
13;318;"Стаття 318.Незаконне виготовлення, підроблення, використання чи збут
 підроблених документів на отримання наркотичних засобів, психотропних речовин
або прекурсорів"
13;319;"Стаття 319.Незаконна видача рецепта на право придбання наркотичних засобів або
психотропних речовин"
13;320;"Стаття 320.Порушення встановлених правил обігу наркотичних засобів,
психотропних речовин, їх аналогів або прекурсорів"
13;321;"Стаття 321.Незаконне виробництво, виготовлення, придбання, перевезення,
 пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин
або отруйних чи сильнодіючих лікарських засобів"
13;321-1;"Стаття 321-1.Фальсифікація лікарських засобів або обіг фальсифікованих
лікарських засобів"
13;321-2;"Стаття 321-2.Порушення встановленого порядку доклінічного вивчення, клінічних
випробувань і державної реєстрації лікарських засобів"
13;322;"Стаття 322.Незаконна організація або утримання місць для вживання одурманюючих
засобів"
13;323;Стаття 323.Спонукання неповнолітніх до застосування допінгу
13;324;Стаття 324.Схиляння неповнолітніх до вживання одурманюючих засобів
13;325;"Стаття 325.Порушення санітарних правил і норм щодо запобігання інфекційним
хворобам та масовим отруєнням"
13;326;"Стаття 326.Порушення правил поводження з мікробіологічними або іншими
біологічними агентами чи токсинами"
13;327;"Стаття 327.Заготівля, перероблення або збут радіоактивно забруднених продуктів
харчування чи іншої продукції"
14;328;Стаття 328.Розголошення державної таємниці
14;329;Стаття 329.Втрата документів, що містять державну таємницю
14;330;"Стаття 330.Передача або збирання відомостей, що становлять службову інформацію,
 зібрану у процесі оперативно-розшукової, контррозвідувальної діяльності, у
сфері оборони країни"
14;332;Стаття 332.Незаконне переправлення осіб через державний кордон України
14;332-1;"Стаття 332-1.Порушення порядку в’їзду на тимчасово окуповану територію України
та виїзду з неї"
14;332-2;Стаття 332-2.Незаконне перетинання державного кордону України
14;333;"Стаття 333.Порушення порядку здійснення міжнародних передач товарів, що
підлягають державному експортному контролю"
14;334;Стаття 334.Порушення правил міжнародних польотів
14;335;"Стаття 335.Ухилення від призову на строкову військову службу, військову службу
за призовом осіб офіцерського складу"
14;336;"Стаття 336.Ухилення від призову на військову службу під час мобілізації, на
 особливий період, на військову службу за призовом осіб із числа резервістів в
особливий період"
14;336-1;"Стаття 336-1. Ухилення від проходження служби цивільного захисту в особливий
період чи у разі проведення цільової мобілізації"
14;337;Стаття 337.Ухилення від військового обліку або навчальних (спеціальних) зборів
15;338;Стаття 338.Наруга над державними символами
15;339;"Стаття 339.Незаконне підняття Державного Прапора України на річковому або
морському судні"
15;340;"Стаття 340.Незаконне перешкоджання організації або проведенню зборів, мітингів,
походів і демонстрацій"
15;341;Стаття 341.Захоплення державних або громадських будівель чи споруд
15;342;"Стаття 342.Опір представникові влади, працівникові правоохоронного органу,
 державному виконавцю, приватному виконавцю, члену громадського формування з
 охорони громадського порядку і державного кордону або військовослужбовцеві,
уповноваженій особі Фонду гарантування вкладів фізичних осіб"
15;343;"Стаття 343.Втручання в діяльність працівника правоохоронного органу, судового
експерта, працівника державної виконавчої служби, приватного виконавця"
15;344;Стаття 344.Втручання у діяльність державного діяча
15;345;Стаття 345.Погроза або насильство щодо працівника правоохоронного органу
15;345-1;Стаття 345-1. Погроза або насильство щодо журналіста
15;346;Стаття 346.Погроза або насильство щодо державного чи громадського діяча
15;347;"Стаття 347.Умисне знищення або пошкодження майна працівника правоохоронного
органу, працівника органу державної виконавчої служби чи приватного виконавця"
15;347-1;Стаття 347-1. Умисне знищення або пошкодження майна журналіста
15;348;"Стаття 348.Посягання на життя працівника правоохоронного органу, члена
 громадського формування з охорони громадського порядку і державного кордону або
військовослужбовця"
15;348-1;Стаття 348-1. Посягання на життя журналіста
15;349;"Стаття 349.Захоплення представника влади або працівника правоохоронного органу
як заручника"
15;349-1;Стаття 349-1. Захоплення журналіста як заручника
15;350;"Стаття 350.Погроза або насильство щодо службової особи чи громадянина, який
виконує громадський обов'язок"
15;351;"Стаття 351.Перешкоджання діяльності народного депутата України та депутата
місцевої ради"
15;351-1;Стаття 351-1.Перешкоджання діяльності Рахункової палати, члена Рахункової палати
15;351-2;"Стаття 351-2.Перешкоджання діяльності Вищої ради правосуддя, Вищої
кваліфікаційної комісії суддів України"
15;352;"Стаття 352.Умисне знищення або пошкодження майна службової особи чи
громадянина, який виконує громадський обов'язок"
15;353;Стаття 353.Самовільне присвоєння владних повноважень або звання службової особи
15;354;Стаття 354.Підкуп працівника підприємства, установи чи організації
15;355;Стаття 355.Примушування до виконання чи невиконання цивільно-правових зобов'язань
15;356;Стаття 356.Самоправство
15;357;"Стаття 357.Викрадення, привласнення, вимагання документів, штампів, печаток,
 заволодіння ними шляхом шахрайства чи зловживання службовим становищем або їх
пошкодження"
15;358;"Стаття 358.Підроблення документів, печаток, штампів та бланків, збут чи
використання підроблених документів, печаток, штампів"
15;359;"Стаття 359.Незаконні придбання, збут або використання спеціальних технічних
засобів отримання інформації"
15;360;Стаття 360.Умисне пошкодження або руйнування телекомунікаційної мережі
16;361;"Стаття 361.Несанкціоноване втручання в роботу електронно-обчислювальних машин
 (комп'ютерів), автоматизованих систем, комп'ютерних мереж чи мереж
електрозв'язку"
